Tahun,Alpukat,Belimbing,Duku/Langsat/Kokosan,Durian,Jambu Biji,Jambu Air,Jeruk Siam/Keprok,Jeruk Besar,Mangga,Manggis,Nangka/Cempedak,Nenas,Pepaya,Pisang,Rambutan,Salak,Sawo,Markisa/Konyal,Sirsak,Sukun,Melon,Semangka,Blewah,Apel,Anggur,Stroberi
2013,81621,10438,8770,48821,47764,15541,29487,3929,327070,29753,54775,95015,66439,1095325,65449,95105,16341,55,12614,15506,136,25018,4958,-,-,-
2014,89351,11780,7656,57494,44473,13847,29539,4418,321482,21109,64610,149814,71768,1237171,98802,69299,22308,48,10390,16096,44,22826,2624,0,7,55491
2015,105238,7887,10012,107110,46790,14366,54127,7442,310226,69314,60623,187555,86485,1306288,169825,56981,19670,98,11609,30176,133,27442,5292,0,3,28380
2016,63509,7047,4893,56662,42555,12880,27160,4739,260107,49079,58767,209348,86576,1204084,69669,17007,22242,102,9698,15652,94,17009,2909,0,0,7575
2017,82663,8333,3705,66314,44246,14864,24594,2886,325457,42122,58830,246698,85139,1128666,57552,13960,16518,153,10871,19204,189,26085,2276,305,30,6746
2018,91383,10421,12200,95056,46332,14188,33928,4348,404543,60773,79988,180802,97122,1125899,105734,18621,22225,182,10582,18519,377,23319,796,-,6,6296
2019,104084,8756,9715,94183,50887,17934,38516,5535,418522,74975,79697,228601,97727,1220174,145581,15285,24878,127,10824,21853,243,11944,875,0,1,4758
2020,104665,7025,6946,73017,79434,20996,47137,13042,442587,90269,75257,250942,99088,1263504,127144,31693,38250,970,11188,24251,195,14606,996,0,2,5955
2021,110046,8769,9091,86785,69249,23585,51554,4829,444073,32160,79322,276195,124466,1649228,171069,20704,18643,-,14620,28076,1028,6841,-,-,61,6458
2022,121326,9454,6965,80334,79961,33838,54122,5443,451174,36173,73714,161359,126227,1317558,138397,28455,21567,-,16714,23113,1282,8232,-,0,105,25413
