Tahun;Alpukat (Ton);Belimbing (Ton);Duku/Langsat/Kokosan (Ton);Durian (Ton);Jambu Biji (Ton);Jambu Air (Ton);Jeruk Siam/Keprok (Ton);Jeruk Besar (Ton);Mangga (Ton);Manggis (Ton);Nangka/Cempedak (Ton);Nenas (Ton);Pepaya (Ton);Pisang (Ton);Rambutan (Ton);Salak (Ton);Sawo (Ton);Markisa/Konyal (Ton);Sirsak (Ton);Sukun (Ton);Melon (Ton);Semangka (Ton);Blewah (Ton);Apel (Ton);Anggur (Ton);Stroberi (Ton)
2013;81621,00;10438,00;8770,00;48821,00;47764,00;15541,00;29487,00;3929,00;327070,00;29753,00;54775,00;95015,00;66439,00;1095325,00;65449,00;95105,00;16341,00;55;12614,00;15506,00;136;25018,00;4958,00;-;-;-
2014;89351,00;11780,00;7656,00;57494,00;44473,00;13847,00;29539,00;4418,00;321482,00;21109,00;64610,00;149814,00;71768,00;1237171,00;98802,00;69299,00;22308,00;48;10390,00;16096,00;44;22826,00;2624,00;0;7;55491,00
2015;105238,00;7887,00;10012,00;107110,00;46790,00;14366,00;54127,00;7442,00;310226,00;69314,00;60623,00;187555,00;86485,00;1306288,00;169825,00;56981,00;19670,00;98;11609,00;30176,00;133;27442,00;5292,00;0;3;28380,00
2016;63509,00;7047,00;4893,00;56662,00;42555,00;12880,00;27160,00;4739,00;260107,00;49079,00;58767,00;209348,00;86576,00;1204084,00;69669,00;17007,00;22242,00;102;9698,00;15652,00;94;17009,00;2909,00;0;0;7575,00
2017;82663,00;8333,00;3705,00;66314,00;44246,00;14864,00;24594,00;2886,00;325457,00;42122,00;58830,00;246698,00;85139,00;1128666,00;57552,00;13960,00;16518,00;153;10871,00;19204,00;189;26085,00;2276,00;305;30;6746,00
2018;91383,00;10421,00;12200,00;95056,00;46332,00;14188,00;33928,00;4348,00;404543,00;60773,00;79988,00;180802,00;97122,00;1125899,00;105734,00;18621,00;22225,00;182;10582,00;18519,00;377;23319,00;796;-;6;6296,00
2019;104084,00;8756,00;9715,00;94183,00;50887,00;17934,00;38516,00;5535,00;418522,00;74975,00;79697,00;228601,00;97727,00;1220174,00;145581,00;15285,00;24878,00;127;10824,00;21853,00;243;11944,00;875;0;1;4758,00
2020;104665,00;7025,00;6946,00;73017,00;79434,00;20996,00;47137,00;13042,00;442587,00;90269,00;75257,00;250942,00;99088,00;1263504,00;127144,00;31693,00;38250,00;970;11188,00;24251,00;195;14606,00;996;0;2;5955,00
2021;110046,00;8769,00;9091,00;86785,00;69249,00;23585,00;51554,00;4829,00;444073,00;32160,00;79322,00;276195,00;124466,00;1649228,00;171069,00;20704,00;18643,00;-;14620,00;28076,00;1028,00;6841,00;-;-;61;6458,00
2022;121326.00;9454.00;6965.00;80334.00;79961.00;33838.00;54122.00;5443.00;451174.00;36173.00;73714.00;161359.00;126227.00;1317558.00;138397.00;28455.00;21567.00;-;16714.00;23113.00;1282.00;8232.00;-;0.00;105.00;25413.00
